topic,similarity,nouns,probabilities
74,0.06501165272002693,"['舞台', '出番', 'クソ', '生理', '元君', '仕事始め', 'スペック', '田曽', 'ニスヤキ', '鉄の女']","[0.8739536, 0.09437299, 0.0052997163, 1.2898588e-06, 1.2898588e-06, 1.2898588e-06, 1.2898588e-06, 1.2898588e-06, 1.2898588e-06, 1.2898588e-06]"
29,0.06499284181866875,"['ブランド', 'レストラン', '神様', 'リボン', '生理', '鉄の女', '毛穴', '田曽', 'ルンド', 'スペック']","[0.43980023, 0.24182883, 0.18195395, 0.07868281, 2.8237428e-06, 2.8237428e-06, 2.8237428e-06, 2.8237428e-06, 2.8237428e-06, 2.8237428e-06]"
123,0.06496737304542106,"['クラス', 'おじいちゃん', 'くら', 'ドット', '鉄の女', '毛穴', '元君', '田曽', 'ニスヤキ', 'スペック']","[0.82492316, 0.10886124, 0.04806735, 0.000363337, 8.698354e-07, 8.698354e-07, 8.698354e-07, 8.698354e-07, 8.698354e-07, 8.698354e-07]"
134,0.06481044997374388,"['ギャル', 'アニメ', '中心', '主人公', '田曽', '毛穴', '争奪戦', 'CPU', '総額', 'スペック']","[0.33200693, 0.32237333, 0.18375266, 0.14270687, 9.371301e-07, 9.371301e-07, 9.371301e-07, 9.371301e-07, 9.371301e-07, 9.371301e-07]"
180,0.06476696563409787,"['興味', 'そん', '元君', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '生理', '争奪戦']","[0.5769427, 0.3927758, 1.4808967e-06, 1.4808967e-06, 1.4808967e-06, 1.4808967e-06, 1.4808967e-06, 1.4808967e-06, 1.4808967e-06, 1.4808967e-06]"
68,0.0647545826761785,"['カメラ', 'お茶', 'ろう', '生理', 'CPU', '総額', 'スペック', '田曽', '鉄の女', '毛穴']","[0.45009962, 0.42564684, 0.08565543, 1.8877294e-06, 1.8877294e-06, 1.8877294e-06, 1.8877294e-06, 1.8877294e-06, 1.8877294e-06, 1.8877294e-06]"
49,0.06446200641903288,"['思い出', 'you', '弾き語り', '仕事始め', 'スペック', '田曽', '鉄の女', '毛穴', '生理', '元君']","[0.8284958, 0.12674761, 0.017409766, 1.337456e-06, 1.337456e-06, 1.337456e-06, 1.337456e-06, 1.337456e-06, 1.337456e-06, 1.337456e-06]"
175,0.06443229960326165,"['お客さん', '後ろ', '毛穴', '元君', 'CPU', '総額', 'スペック', '田曽', '鉄の女', 'トム']","[0.5060083, 0.46842974, 1.2500946e-06, 1.2500946e-06, 1.2500946e-06, 1.2500946e-06, 1.2500946e-06, 1.2500946e-06, 1.2500946e-06, 1.2500946e-06]"
121,0.06434572797696302,"['思い', '仕事始め', 'ニスヤキ', 'スペック', '田曽', '鉄の女', '毛穴', '生理', '元君', 'CPU']","[0.94889903, 2.4989406e-06, 2.4989406e-06, 2.4989406e-06, 2.4989406e-06, 2.4989406e-06, 2.4989406e-06, 2.4989406e-06, 2.4989406e-06, 2.4989406e-06]"
10,0.06431749842210915,"['最初', '言い方', 'シロ', '元君', 'ニスヤキ', 'スペック', '田曽', '鉄の女', '毛穴', '生理']","[0.84632933, 0.14689548, 0.00011242272, 3.2587474e-07, 3.2587474e-07, 3.2587474e-07, 3.2587474e-07, 3.2587474e-07, 3.2587474e-07, 3.2587474e-07]"
64,0.06428212894167075,"['スタッフ', 'したこと', '生理', '仕事始め', 'CPU', '総額', 'スペック', '田曽', '鉄の女', '毛穴']","[0.9677629, 0.0239446, 4.0553888e-07, 4.0553888e-07, 4.0553888e-07, 4.0553888e-07, 4.0553888e-07, 4.0553888e-07, 4.0553888e-07, 4.0553888e-07]"
143,0.064271501764896,"['会場', '全国', 'バチバチ', '建物', 'ほぼほぼ', '田曽', '毛穴', '仕事始め', 'スペック', '総額']","[0.5159104, 0.36105198, 0.069824256, 0.024528906, 0.0061024586, 1.1045192e-06, 1.1045192e-06, 1.1045192e-06, 1.1045192e-06, 1.1045192e-06]"
96,0.0640679684456151,"['春日', 'チャンス', '元君', 'CPU', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '生理']","[0.50118065, 0.43683293, 3.031404e-06, 3.031404e-06, 3.031404e-06, 3.031404e-06, 3.031404e-06, 3.031404e-06, 3.031404e-06, 3.031404e-06]"
124,0.06388971786056391,"['全員', 'ただ', 'イカ', '毛穴', '元君', 'CPU', '総額', 'スペック', '田曽', '鉄の女']","[0.6637895, 0.3065993, 0.016483063, 6.420456e-07, 6.420456e-07, 6.420456e-07, 6.420456e-07, 6.420456e-07, 6.420456e-07, 6.420456e-07]"
107,0.06387760575417845,"['ネット', '芸能人', '韓国', 'らい', '生理', '総額', 'スペック', '田曽', '鉄の女', '毛穴']","[0.6170381, 0.20155121, 0.13023311, 0.02271013, 1.3923394e-06, 1.3923394e-06, 1.3923394e-06, 1.3923394e-06, 1.3923394e-06, 1.3923394e-06]"
168,0.06375984631748702,"['人気', '仕事始め', '総額', 'スペック', '田曽', '鉄の女', '毛穴', '生理', '元君', 'CPU']","[0.92264795, 3.7826926e-06, 3.7826926e-06, 3.7826926e-06, 3.7826926e-06, 3.7826926e-06, 3.7826926e-06, 3.7826926e-06, 3.7826926e-06, 3.7826926e-06]"
